stationID,hour_timestamp,total_kWh,hour,dayofweek,month,day,weekofyear,hour_sin,hour_cos,dow_sin,dow_cos,station_encoded,lag_1,rolling_3h,rolling_24h
2-39-79-378,2019-11-12 17:00:00,17.114,17,1,11,12,46,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,32,0.723,6.454000000000005,6.635666666666666
2-39-79-378,2019-11-13 17:00:00,18.577,17,2,11,13,46,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,32,17.114,12.138000000000005,7.113166666666667
2-39-79-378,2019-11-14 16:00:00,9.176,16,3,11,14,46,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,32,18.577,14.955666666666673,7.087583333333332
2-39-79-378,2019-11-15 17:00:00,0.9,17,4,11,15,46,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,32,9.176,9.551000000000005,6.892625
2-39-79-378,2019-11-19 17:00:00,20.091,17,1,11,19,47,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,32,0.9,10.055666666666673,7.537375
2-39-79-378,2019-11-21 18:00:00,2.135,18,3,11,21,47,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,32,20.091,7.70866666666667,7.431208333333333
2-39-79-378,2019-11-22 22:00:00,14.772,22,4,11,22,47,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,32,2.135,12.332666666666674,7.953583333333334
2-39-79-378,2019-11-25 16:00:00,14.734,16,0,11,25,48,-0.8660254037844384,-0.5000000000000004,0.0,1.0,32,14.772,10.547000000000004,8.508416666666667
2-39-79-378,2019-11-29 23:00:00,14.642,23,4,11,29,48,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,32,14.734,14.716000000000006,9.071708333333333
2-39-79-378,2019-12-02 16:00:00,20.342,16,0,12,2,49,-0.8660254037844384,-0.5000000000000004,0.0,1.0,32,14.642,16.572666666666674,9.886666666666667
2-39-79-378,2019-12-04 18:00:00,11.562,18,2,12,4,49,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,32,20.342,15.515333333333338,10.239958333333332
2-39-79-378,2019-12-05 16:00:00,20.039,16,3,12,5,49,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,32,11.562,17.31433333333334,11.018458333333333
2-39-79-378,2019-12-06 17:00:00,10.925,17,4,12,6,49,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,32,20.039,14.175333333333342,11.426124999999999
2-39-79-378,2019-12-09 18:00:00,11.202,18,0,12,9,50,-1.0,-1.8369701987210297e-16,0.0,1.0,32,10.925,14.055333333333342,11.713
2-39-79-378,2019-12-10 17:00:00,12.715,17,1,12,10,50,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,32,11.202,11.614000000000006,12.032791666666668
2-39-79-378,2019-12-11 17:00:00,6.019,17,2,12,11,50,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,32,12.715,9.978666666666674,12.169083333333333
2-39-79-378,2019-12-13 02:00:00,1.611,2,4,12,13,50,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,32,6.019,6.781666666666674,11.649083333333335
2-39-79-378,2019-12-16 17:00:00,21.434,17,0,12,16,51,-0.9659258262890683,-0.25881904510252063,0.0,1.0,32,1.611,9.688000000000008,11.598624999999998
2-39-79-378,2019-12-17 17:00:00,0.885,17,1,12,17,51,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,32,21.434,7.976666666666676,11.14275
2-39-79-378,2019-12-18 16:00:00,12.902,16,2,12,18,51,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,32,0.885,11.740333333333341,11.592875000000001
2-39-79-378,2019-12-19 18:00:00,5.024,18,3,12,19,51,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,32,12.902,6.270333333333341,11.736041666666667
